# ALPHA = 0.05
# NUMBER_OF_TESTS = 15485

# _SET1_  VARIABLE = Curated_gene_sets:nikolsky_breast_cancer_16q24_amplicon (set)
# _SET1_  NGENES = 53
# _SET1_  P-VALUE = 3.68586e-07
_SET1_   GENE              CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000197912    16  89507325  89674176    511      29  16342       1.2635     0.076793   -2.2204e-16       1.2635
_SET1_   ENSG00000167526    16  89577065  89680950    360      31  16342       1.2987     0.071245   -2.2204e-16       1.2987
_SET1_   ENSG00000178773    16  89592176  89713654    407      46  16342       1.2847     0.073154   -2.2204e-16       1.2847
_SET1_   ENSG00000015413    16  89629716  89754839    483      50  16342      0.88229      0.14729   -2.2204e-16      0.88229
_SET1_   ENSG00000131165    16  89660839  89774253    414      38  16342      0.78836      0.16953   -2.2204e-16      0.78836
_SET1_   ENSG00000167523    16  89674210  89787680    409      38  16342      0.67705      0.19916   -2.2204e-16      0.67705
_SET1_   ENSG00000185324    16  89697145  89812772    477      40  16342       2.9185    0.0010174             0       2.9185
_SET1_   ENSG00000158792    16  89712751  89818113    459      40  16342       3.6624   6.4411e-05             0       3.6624
_SET1_   ENSG00000075399    16  89723542  89837394    544      34  16342       4.2216   5.7722e-06             0       4.2216
_SET1_   ENSG00000158805    16  89736808  89857311    609      32  16342          4.4      2.5e-06             0          4.4
_SET1_   ENSG00000187741    16  89753957  89933065    814      30  16342         5.03   9.9131e-08             0         5.03
_SET1_   ENSG00000204991    16  89834587  89987727    622      22  16342       5.4942   8.0075e-09             0       5.4942
_SET1_   ENSG00000141002    16  89890000  90027792    536      27  16342       6.4101   2.8202e-11             0       6.4101
_SET1_   ENSG00000258839    16  89928527  90037385    438      31  16342       5.9898    4.779e-10             0       5.9898
_SET1_   ENSG00000198211    16  89935573  90052500    485      33  16342       5.8616   1.0432e-09             0       5.8616
_SET1_   ENSG00000258947    16  89937800  90055169    505      27  16342       6.0426   3.3994e-10             0       6.0426
_SET1_   ENSG00000140995    16  89964333  90084468    505      33  16342       5.9009   7.7311e-10             0       5.9009
_SET1_   ENSG00000177946    16  89986206  90088942    442      40  16342       5.0157   1.2726e-07             0       5.0157
_SET1_   ENSG00000003249    16  90021273  90136536    476      42  16342       4.0261    1.454e-05             0       4.0261
_SET1_   ENSG00000141013    16  90036037  90161383    496      43  16342       3.8342   3.3617e-05             0       3.8342
_SET1_   ENSG00000221819    16  90045316  90146309    400      39  16342       3.5902   8.8866e-05             0       3.5902
_SET1_   ENSG00000126856    16  90072974  90208480    372      34  16342       3.5602   0.00010278             0       3.5602
