ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000141002	TCF25	16	89940000	89977792	1	protein_coding	22980	TCF25	0.0517782774404855	NA	17	22	2.69548137066e-13	rs9939914;rs1558151;rs111398992;rs34019730;rs72813432	8
ENSG00000258839	MC1R	16	89978527	89987385	1	protein_coding	4157	MC1R	3.24606043304287e-07	0.608794345	7	22	7.90041237025e-20	rs111398992;rs34019730;rs9939914	8
ENSG00000198211	TUBB3	16	89985573	90002500	1	protein_coding	10381	TUBB3	NA	0.14326531	12	22	7.90041237025e-20	rs111398992;rs34019730;rs9939914	8
ENSG00000258947	TUBB3	16	89987800	90005169	1	protein_coding	10381	TUBB3	0.960789307391211	0.14326531	11	22	7.90041237025e-20	rs9939914;rs111398992;rs34019730	8
ENSG00000140995	DEF8	16	90014333	90034468	1	protein_coding	54849	DEF8	0.389991487866254	1.457518434	9	12.89	4.27599389273e-13	rs111398992;rs34019730;rs117306165;rs145943576	8
ENSG00000177946	CENPBD1	16	90036206	90038942	-1	protein_coding	92806	CENPBD1	0.0200720946377584	-0.392978384	4	3.069	8.43831046704e-11	rs117306165;rs145943576	8
ENSG00000003249	DBNDD1	16	90071273	90086536	-1	protein_coding	79007	DBNDD1	0.000234996408377196	-0.663797933	5	4.321	2.99831622204e-12	rs117306165;rs145943576;rs34019730	8
ENSG00000141013	GAS8	16	90086037	90111383	1	protein_coding	2622	GAS8	8.03531596883606e-08	1.927189183	1	4.321	6.26413694249e-08	rs117306165;rs34019730;rs145943576	8
ENSG00000159314	ARHGAP27	17	43471275	43511787	-1	protein_coding	201176	ARHGAP27	0.00125584382196987	-0.761627793	82	18.95	3.37500787282e-05	rs2950705	9
ENSG00000225190	PLEKHM1	17	43513266	43568115	-1	protein_coding	9842	PLEKHM1	0.840543209831517	-0.663068032	138	18.95	1.34428024268e-08	rs2950705	9
ENSG00000120088	CRHR1	17	43699267	43913194	1	protein_coding	1394	CRHR1	0.792134286397601	2.038085631	914	19.39	1.64882651976e-09	rs2950705	9
ENSG00000185294	SPPL2C	17	43922256	43924438	1	protein_coding	162540	SPPL2C	2.29524703916312e-05	0.187394842	117	23.5	8.40101588295e-09	rs2950705	9
ENSG00000186868	MAPT	17	43971748	44105700	1	protein_coding	4137	MAPT	4.68264962282433e-05	2.01024275	794	26.8	7.00633754948e-23	rs2950705;rs11079727;rs3785880;rs10775404;rs62074125;rs2016034;rs8064802;rs7225002;rs17698176	9
ENSG00000256762	STH	17	44076616	44077060	1	protein_coding	246744	STH	0.00444466614164462	0.274193181	102	19.15	7.00633754948e-23	rs2950705;rs10775404;rs62074125;rs2016034;rs8064802	9
ENSG00000120071	KANSL1	17	44107282	44302733	-1	protein_coding	284058	KANSL1	0.999733505943003	0.058945245	955	22.6	1.7494852285e-24	rs2016034;rs8064802;rs2950705;rs7225002;rs10775404;rs17698176;rs62074125	9
ENSG00000228696	ARL17B	17	44352150	44439130	-1	protein_coding	100506084	ARL17B	NA	-0.428243465	75	14.22	4.87868992709e-20	rs2950705;rs10775404;rs17698176	9
ENSG00000176681	LRRC37A	17	44370099	44415160	1	protein_coding	9884	LRRC37A	0.890487355591061	NA	8	12.59	4.87868992709e-20	rs2950705;rs10775404;rs17698176	9
ENSG00000073969	NSF	17	44668035	44834830	1	protein_coding	4905	NSF	0.713682130183303	-0.566246769	55	17.18	1.81314693464e-22	rs2950705;rs17698176;rs10775404	9
ENSG00000108379	WNT3	17	44839872	44910520	-1	protein_coding	7473	WNT3	0.946108101336536	-0.191110949	40	16.08	1.81314693464e-22	rs2950705;rs10775404;rs17698176;rs62074125	9
