# ALPHA = 0.05
# NUMBER_OF_TESTS = 15481

# _SET1_  VARIABLE = GO_bp:go_regulation_of_anatomical_structure_morphogenesis (set)
# _SET1_  NGENES = 995
# _SET1_  P-VALUE = 3.11454e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000158055     1   24595812   24740972    416      35  35986      -1.4596      0.89528    1.3323e-15      -1.4596
_SET1_   ENSG00000000938     1   27888575   28011788    196      29  35986     -0.70697      0.79733    1.2212e-15     -0.70697
_SET1_   ENSG00000159023     1   29163603   29496553    715      36  35986      0.76938      0.16799    1.2212e-15      0.76938
_SET1_   ENSG00000121753     1   32142718   32280494    179      29  35986     -0.56051       0.6507    1.2212e-15     -0.56051
_SET1_   ENSG00000163867     1   35399523   35547569    203       7  35986      0.40771      0.37767    1.2212e-15      0.40771
_SET1_   ENSG00000197056     1   35475387   35631460    233      12  35986    -0.047998      0.54622    1.2282e-15    -0.047998
_SET1_   ENSG00000146463     1   35684568   35937659    277      14  35986      0.15333      0.48103    1.2212e-15      0.15333
_SET1_   ENSG00000126067     1   36017185   36157445    109      13  35986     -0.17335      0.61487    1.2212e-15     -0.17335
_SET1_   ENSG00000134698     1   36223773   36373491    194      20  35986      -1.9935      0.97987    1.3323e-15      -1.9935
_SET1_   ENSG00000092847     1   36285409   36445211    162      17  35986      -2.4761      0.99436    1.3323e-15      -2.4761
_SET1_   ENSG00000163874     1   37890153   37999980    310      33  35986      0.84518      0.15136    1.2212e-15      0.84518
_SET1_   ENSG00000127603     1   39496988   40002849   1141      43  35986     -0.22958      0.51349    1.2212e-15     -0.22958
_SET1_   ENSG00000084073     1   40673779   40809856    289      33  35986     -0.39576      0.59839    1.2212e-15     -0.39576
_SET1_   ENSG00000066056     1   43716664   43838779    196      29  35986     -0.40166      0.58537    1.2212e-15     -0.40166
_SET1_   ENSG00000117400     1   43753478   43868443    154      16  35986     -0.51434      0.62144    1.2212e-15     -0.51434
_SET1_   ENSG00000162415     1   45432071   45821881    797      25  35986       0.8748      0.14383    1.2212e-15       0.8748
_SET1_   ENSG00000157193     1   53661217   53843742    415      44  35986       2.1872    0.0086763    1.3323e-15       2.1872
_SET1_   ENSG00000173406     1   57410451   59062406   5286     252  35986      0.14794      0.32754    1.2212e-15      0.14794
_SET1_   ENSG00000162600     1   58831056   59062474   1051      53  35986     -0.34641      0.55443    1.2212e-15     -0.34641
_SET1_   ENSG00000184292     1   58991099   59093166    567      25  35986     -0.43562      0.60174    1.2212e-15     -0.43562
_SET1_   ENSG00000132855     1   63013158   63121830    136       8  35986      0.69677      0.18357    1.2212e-15      0.69677
_SET1_   ENSG00000185483     1   64189693   64697181   1329      85  35986      -1.0983      0.80867    1.3323e-15      -1.0983
_SET1_   ENSG00000162434     1   65248912   65482187    559      32  35986      0.86587      0.15714    1.2212e-15      0.86587
_SET1_   ENSG00000174021     1   84914008   85022248    387      26  35986      -1.1063      0.83328    1.3323e-15      -1.1063
_SET1_   ENSG00000171517     1   85227285   85408896    683      72  35986     -0.18161      0.50684    1.2212e-15     -0.18161
_SET1_   ENSG00000153904     1   85734164   86093933   1099      69  35986      0.47304      0.24743    1.2212e-15      0.47304
_SET1_   ENSG00000117228     1   89468002   89581043    334      17  35986     -0.84757      0.73755    1.2212e-15     -0.84757
_SET1_   ENSG00000143032     1   91127096   91232794    289      29  35986     -0.39497      0.58459    1.2212e-15     -0.39497
_SET1_   ENSG00000117525     1   94944781   95057356    282      24  35986     -0.84766      0.74556    1.2212e-15     -0.84766
_SET1_   ENSG00000099260     1  100061499  100210097    455      41  35986     -0.84728      0.74932    1.2212e-15     -0.84728
_SET1_   ENSG00000031698     1  109706540  109830791    348      36  35986       1.2654      0.07349    1.3323e-15       1.2654
_SET1_   ENSG00000143126     1  109742641  109868372    290      39  35986       1.5127     0.046923    1.3323e-15       1.5127
_SET1_   ENSG00000143106     1  109891653  110019062    220      14  35986      0.95159      0.12697    1.2212e-15      0.95159
_SET1_   ENSG00000181754     1  109996797  110102360    230      21  35986      0.94109      0.12736    1.2212e-15      0.94109
_SET1_   ENSG00000184371     1  110402864  110523614    281      46  35986       0.5479      0.23558    1.2212e-15       0.5479
_SET1_   ENSG00000143093     1  110524199  110667263    227      27  35986      0.84443      0.14843    1.2212e-15      0.84443
_SET1_   ENSG00000143125     1  110943822  111049976    327      49  35986       1.2372     0.078189    1.3323e-15       1.2372
_SET1_   ENSG00000143119     1  111365775  111492550    509      25  35986       1.7886      0.02327    1.3323e-15       1.7886
_SET1_   ENSG00000116473     1  112034840  112309313    892      59  35986     -0.63209      0.66867    1.2212e-15     -0.63209
_SET1_   ENSG00000134245     1  112959163  113122787    393      33  35986     -0.15239       0.4843    1.2212e-15     -0.15239
_SET1_   ENSG00000155363     1  113165763  113293368    246      35  35986      0.58718      0.22003    1.2212e-15      0.58718
_SET1_   ENSG00000155366     1  113193728  113300056    220      34  35986      0.88556      0.14151    1.2212e-15      0.88556
_SET1_   ENSG00000163349     1  114421814  114570426    309      34  35986       1.3901     0.058618    1.3323e-15       1.3901
_SET1_   ENSG00000134259     1  115778539  115930857    574      66  35986       1.2733     0.077504    1.3323e-15       1.2733
_SET1_   ENSG00000173218     1  116134574  116290845    604      39  35986     -0.16715      0.48943    1.2212e-15     -0.16715
_SET1_   ENSG00000117281     1  145645798  145765614    133      13  35986      0.60375      0.20651    1.2212e-15      0.60375
_SET1_   ENSG00000023902     1  150071373  150186916    185      10  35986        0.729      0.18127    1.2212e-15        0.729
_SET1_   ENSG00000143369     1  150430538  150536265    291      23  35986      0.32362      0.29993    1.2212e-15      0.32362
_SET1_   ENSG00000197622     1  150973447  151092801    278      29  35986      0.41052      0.29872    1.2212e-15      0.41052
_SET1_   ENSG00000143434     1  151054161  151169104    183      25  35986      0.83798      0.17222    1.2212e-15      0.83798
_SET1_   ENSG00000159352     1  151177179  151289955    129      12  35986     -0.23819      0.51735    1.2212e-15     -0.23819
_SET1_   ENSG00000159377     1  151322010  151424420    170      21  35986     -0.68974      0.70095    1.2212e-15     -0.68974
_SET1_   ENSG00000197747     1  151905391  152016866    299      16  35986     -0.59925      0.66264    1.2212e-15     -0.59925
_SET1_   ENSG00000189171     1  153541263  153656568    251      28  35986     -0.67575      0.68924    1.2212e-15     -0.67575
_SET1_   ENSG00000160678     1  153550402  153654513    225      24  35986     -0.51567      0.62771    1.2212e-15     -0.51567
_SET1_   ENSG00000169418     1  153601113  153716468    208      20  35986       1.1825     0.082939    1.3323e-15       1.1825
_SET1_   ENSG00000160716     1  154490257  154602502    265      21  35986       0.2911      0.31153    1.2212e-15       0.2911
_SET1_   ENSG00000251246     1  154986224  155109283    230      30  35986       1.2643     0.072247    1.3323e-15       1.2643
_SET1_   ENSG00000143590     1  154986224  155110014    231      30  35986       1.2596     0.072919    1.3323e-15       1.2596
_SET1_   ENSG00000169242     1  155049936  155157333    220      20  35986       1.5694     0.037989    1.3323e-15       1.5694
_SET1_   ENSG00000163462     1  155095873  155207447    191      22  35986       2.0137     0.013453    1.3323e-15       2.0137
_SET1_   ENSG00000196189     1  156067157  156197543    322      26  35986      -1.0114      0.79923    1.3323e-15      -1.0114
_SET1_   ENSG00000143320     1  156619398  156725608    226      42  35986       0.3147      0.31316    1.2212e-15       0.3147
_SET1_   ENSG00000163554     1  158530496  158706488    472      31  35986      0.31446      0.29898    1.2212e-15      0.31446
_SET1_   ENSG00000162738     1  160320376  160448468    308      27  35986       1.2012     0.083133    1.3323e-15       1.2012
_SET1_   ENSG00000034971     1  171554557  171671823    471      35  35986      0.45673       0.2615    1.2212e-15      0.45673
_SET1_   ENSG00000197959     1  171760621  172437606   1727      77  35986     -0.51936      0.59511    1.2212e-15     -0.51936
_SET1_   ENSG00000117560     1  172578154  172686014    230      30  35986      -1.1995      0.84167    1.3323e-15      -1.1995
_SET1_   ENSG00000135870     1  173850352  174041435    378      15  35986     0.062609      0.42099    1.2351e-15     0.062609
_SET1_   ENSG00000116147     1  175234330  175762906   1634     126  35986     -0.25897      0.51796    1.2212e-15     -0.25897
_SET1_   ENSG00000135821     1  182300839  182411341    367      24  35986     -0.25497      0.52018    1.2212e-15     -0.25497
_SET1_   ENSG00000073756     1  186590923  186699559    329      18  35986     -0.14876      0.51786    1.2212e-15     -0.14876
_SET1_   ENSG00000143858     1  202509724  202729545    482      53  35986     -0.33696      0.55915    1.2212e-15     -0.33696
_SET1_   ENSG00000122180     1  203002260  203105164    241      33  35986        1.604     0.036163    1.3323e-15        1.604
_SET1_   ENSG00000133048     1  203098059  203205877    347      48  35986    -0.024175      0.44341    1.2317e-15    -0.024175
_SET1_   ENSG00000184144     1  204962325  205097627    458      50  35986     -0.27638      0.54168    1.2212e-15     -0.27638
_SET1_   ENSG00000136634     1  206890947  206995839    303      46  35986      0.25882      0.33771    1.2212e-15      0.25882
_SET1_   ENSG00000174059     1  208007594  208134747    500      36  35986      0.11933      0.38381    1.2351e-15      0.11933
_SET1_   ENSG00000076356     1  208145587  208467665    934      87  35986       1.1078     0.097574    1.3323e-15       1.1078
_SET1_   ENSG00000143494     1  213073862  213215379    398      45  35986      0.92526      0.13531    1.2212e-15      0.92526
_SET1_   ENSG00000117707     1  214106524  214264595    366      36  35986      0.51481      0.25872    1.2212e-15      0.51481
_SET1_   ENSG00000092969     1  218469577  218667961    402      42  35986      0.54653      0.24642    1.2212e-15      0.54653
_SET1_   ENSG00000162909     1  223839295  224013720    521      23  35986      0.28768      0.32531    1.2212e-15      0.28768
_SET1_   ENSG00000154342     1  228144752  228298961    350      18  35986     -0.62919      0.68433    1.2212e-15     -0.62919
_SET1_   ENSG00000116574     1  228820824  228932416    315      26  35986     0.087161      0.39489    1.2351e-15     0.087161
_SET1_   ENSG00000135744     1  230788269  230900043    513      41  35986      -0.1151      0.47559    1.2351e-15      -0.1151
_SET1_   ENSG00000135766     1  231449497  231610790    515      12  35986      -2.3235      0.98175    1.3323e-15      -2.3235
_SET1_   ENSG00000117020     1  243601535  244064381    709      31  35986     -0.96701      0.77842    1.2212e-15     -0.96701
_SET1_   ENSG00000119185     2    9493604    9613676    222      19  35986       1.5291      0.04168    1.3323e-15       1.5291
_SET1_   ENSG00000134318     2   11269887   11538456    850      32  35986      0.50573      0.23311    1.2212e-15      0.50573
_SET1_   ENSG00000143867     2   19501246   19608414    292      26  35986      0.99613      0.12084    1.2212e-15      0.99613
_SET1_   ENSG00000143878     2   20596835   20699200    387      45  35986      0.59502      0.21694    1.2212e-15      0.59502
_SET1_   ENSG00000143869     2   20816424   20923418    383      51  35986     -0.44435      0.60547    1.2212e-15     -0.44435
_SET1_   ENSG00000198399     2   24375733   24633583    697      20  35986       1.0372      0.12448    1.3323e-15       1.0372
_SET1_   ENSG00000138080     2   27251435   27359271    132      13  35986       2.2211    0.0076755    1.3323e-15       2.2211
_SET1_   ENSG00000158125     2   31507187   31687581    625      72  35986       1.8286     0.023368    1.3323e-15       1.8286
_SET1_   ENSG00000163171     2   37819032   38015611    782      64  35986       1.9815     0.014598    1.3323e-15       1.9815
_SET1_   ENSG00000138061     2   38244116   38387044    580      36  35986      0.88558      0.13998    1.2212e-15      0.88558
_SET1_   ENSG00000170577     2   45182300   45286569    527      36  35986     -0.14312      0.47469    1.2212e-15     -0.14312
_SET1_   ENSG00000119729     2   46718945   46860260    379      33  35986      0.89382      0.14082    1.2212e-15      0.89382
_SET1_   ENSG00000068878     2   54041204   54247977    588      25  35986      -0.5471      0.63273    1.2212e-15      -0.5471
_SET1_   ENSG00000115310     2   55149325   55389757    813      42  35986       1.2036     0.079607    1.3323e-15       1.2036
_SET1_   ENSG00000119866     2   60628302   60830702    417      51  35986       1.2237     0.080222    1.3323e-15       1.2237
_SET1_   ENSG00000143951     2   63298518   64104977   1739      34  35986      0.34188      0.25685    1.2212e-15      0.34188
_SET1_   ENSG00000138071     2   65404887   65548387    372      24  35986      0.60833      0.20925    1.2212e-15      0.60833
_SET1_   ENSG00000163217     2   69042613   69148649    351      37  35986        1.261     0.075467    1.3323e-15        1.261
_SET1_   ENSG00000115297     2   74690590   74794274     93      13  35986     -0.47673      0.66152    1.2212e-15     -0.47673
_SET1_   ENSG00000135622     2   74831355   74959186    159      10  35986      0.98672      0.13382    1.2212e-15      0.98672
_SET1_   ENSG00000159399     2   75011108   75170486    468      59  35986     -0.93916      0.77543    1.2212e-15     -0.93916
_SET1_   ENSG00000115386     2   79297488   79400545    361      41  35986      -1.6012      0.92526    1.3323e-15      -1.6012
_SET1_   ENSG00000168758     2   97475453   97586494    177      16  35986     -0.42908      0.62415    1.2212e-15     -0.42908
_SET1_   ENSG00000115539     2  101129152  101243197    327      28  35986       1.6947     0.028904    1.3323e-15       1.6947
_SET1_   ENSG00000169756     2  109100857  109353702    824      25  35986       1.0969      0.09158    1.3323e-15       1.0969
_SET1_   ENSG00000114999     2  113189731  113349316    334      23  35986     -0.52192      0.62931    1.2212e-15     -0.52192
_SET1_   ENSG00000115008     2  113481492  113592167    243      21  35986      0.43541      0.25989    1.2212e-15      0.43541
_SET1_   ENSG00000125538     2  113537328  113644480    219      24  35986     -0.54867      0.63725    1.2212e-15     -0.54867
_SET1_   ENSG00000136689     2  113814791  113941593    617      34  35986      -1.0401      0.79516    1.3323e-15      -1.0401
_SET1_   ENSG00000125618     2  113923574  114086527    556      39  35986     -0.98568      0.78414    1.2212e-15     -0.98568
_SET1_   ENSG00000074054     2  122045352  122457163   1016      23  35986      -1.0837      0.84607    1.3323e-15      -1.0837
_SET1_   ENSG00000072163     2  128345956  128489360    470      47  35986     -0.30233      0.55593    1.2212e-15     -0.30233
_SET1_   ENSG00000075884     2  143798931  144575921   1797     103  35986      0.17691      0.33383    1.2212e-15      0.17691
_SET1_   ENSG00000169554     2  145091648  145332147    342      61  35986         1.19     0.095433    1.3323e-15         1.19
_SET1_   ENSG00000115963     2  151274709  151445525    369      47  35986      0.76281      0.17811    1.2212e-15      0.76281
_SET1_   ENSG00000157827     2  153141751  153556348   1259      57  35986      0.78527      0.15367    1.2212e-15      0.78527
_SET1_   ENSG00000196504     2  153458107  153624511    425      31  35986       1.8998     0.019412    1.3323e-15       1.8998
_SET1_   ENSG00000136541     2  158125137  158234225    170      16  35986      0.60397      0.29966    1.2212e-15      0.60397
_SET1_   ENSG00000115170     2  158542958  158782374    364      51  35986      -0.6582      0.71823    1.2212e-15      -0.6582
_SET1_   ENSG00000115233     2  162114549  162318228    324      22  35986       1.6107     0.040424    1.3323e-15       1.6107
_SET1_   ENSG00000136535     2  162222605  162332381    167      18  35986       2.1131     0.012678    1.3323e-15       2.1131
_SET1_   ENSG00000128656     2  175614091  175920097    536      28  35986     -0.11788       0.4617    1.2351e-15     -0.11788
_SET1_   ENSG00000115966     2  175886978  176083110    508      30  35986     -0.25399      0.55107    1.2212e-15     -0.25399
_SET1_   ENSG00000128714     2  176907619  177010666    265      38  35986     -0.50484      0.63992    1.2212e-15     -0.50484
_SET1_   ENSG00000116044     2  178042323  178307425    533      30  35986      -1.1267       0.8269    1.3323e-15      -1.1267
_SET1_   ENSG00000204262     2  189846622  190094605    654      26  35986       2.2845    0.0069453    1.3323e-15       2.2845
_SET1_   ENSG00000115415     2  191779084  191935686    295      31  35986       1.2148     0.083141    1.3323e-15       1.2148
_SET1_   ENSG00000138411     2  197009094  197508416   1408      75  35986     -0.61785      0.66206    1.2212e-15     -0.61785
_SET1_   ENSG00000003402     2  201930827  202091410    316      21  35986     -0.71111      0.71507    1.2212e-15     -0.71111
_SET1_   ENSG00000115993     2  202191930  202366302    343      18  35986      0.17655      0.35381    1.2212e-15      0.17655
_SET1_   ENSG00000155760     2  202849310  202953160    316      28  35986     -0.95953      0.77786    1.2212e-15     -0.95953
_SET1_   ENSG00000204217     2  203191659  203482474    483      25  35986     -0.74635       0.7159    1.2212e-15     -0.74635
_SET1_   ENSG00000138443     2  204142942  204362446    348      26  35986       1.6757     0.034995    1.3323e-15       1.6757
_SET1_   ENSG00000163251     2  208577310  208684287    234      24  35986      0.43446       0.2902    1.2212e-15      0.43446
_SET1_   ENSG00000078018     2  210238782  210648842   1097      33  35986       2.6709    0.0020757    1.3323e-15       2.6709
_SET1_   ENSG00000115414     2  216175163  216350895    549      38  35986       -1.849      0.94939    1.3323e-15       -1.849
_SET1_   ENSG00000180871     2  218940012  219051976    239      17  35986      0.27061      0.31888    1.2212e-15      0.27061
_SET1_   ENSG00000163466     2  219031817  219169079    268      14  35986      0.27429      0.31312    1.2212e-15      0.27429
_SET1_   ENSG00000135926     2  219088915  219207309    273      12  35986      0.24481      0.32277    1.2212e-15      0.24481
_SET1_   ENSG00000127831     2  219233815  219368018    238      24  35986      -1.1343      0.82681    1.3323e-15      -1.1343
_SET1_   ENSG00000115596     2  219674544  219788955    135      18  35986      -2.0624      0.97318    1.3323e-15      -2.0624
_SET1_   ENSG00000135925     2  219695085  219814303    135      15  35986      -2.0803      0.97445    1.3323e-15      -2.0803
_SET1_   ENSG00000124006     2  220365451  220486581    238      38  35986     0.085198      0.39601    1.2351e-15     0.085198
_SET1_   ENSG00000116106     2  222232747  222488922    654      51  35986      0.20638      0.33847    1.2212e-15      0.20638
_SET1_   ENSG00000169031     2  227979281  228229508   1088      68  35986    -0.054563      0.44091    1.2282e-15    -0.054563
_SET1_   ENSG00000168958     2  228139867  228272550    532      35  35986     -0.30242      0.55213    1.2212e-15     -0.30242
_SET1_   ENSG00000153823     2  229665242  230186001   1636     112  35986      -1.2114      0.83813    1.3323e-15      -1.2114
_SET1_   ENSG00000067066     2  231230657  231458805   1111      51  35986     -0.31774      0.52608    1.2212e-15     -0.31774
_SET1_   ENSG00000173692     2  231871578  232087541    542      33  35986      -1.2822      0.86104    1.3323e-15      -1.2822
_SET1_   ENSG00000066248     2  233693396  233927982    866      58  35986      0.36181      0.28058    1.2212e-15      0.36181
_SET1_   ENSG00000115694     2  242382089  242499145    404      39  35986     0.099769      0.38627    1.2351e-15     0.099769
_SET1_   ENSG00000182533     3    8725486    8933492    905      87  35986     -0.49925      0.62802    1.2212e-15     -0.49925
_SET1_   ENSG00000144550     3    9695491    9821592    232      49  35986     -0.26205      0.56659    1.2212e-15     -0.26205
_SET1_   ENSG00000134072     3    9749026    9861676    245      38  35986      0.51693      0.25531    1.2212e-15      0.51693
_SET1_   ENSG00000157017     3   10277359   10384631    316      26  35986     -0.29458      0.53705    1.2212e-15     -0.29458
_SET1_   ENSG00000132170     3   12278867   12525855    667      50  35986     -0.89018      0.75696    1.2212e-15     -0.89018
_SET1_   ENSG00000154764     3   13807755   13971618    485      63  35986      0.63911      0.20666    1.2212e-15      0.63911
_SET1_   ENSG00000154783     3   14810469   15025895    804      59  35986      0.85331      0.14927    1.2212e-15      0.85331
_SET1_   ENSG00000151090     3   24108651   24586773   1383     129  35986       1.1703     0.087715    1.3323e-15       1.1703
_SET1_   ENSG00000163513     3   30597994   30785634    583      59  35986       1.4318     0.054094    1.3323e-15       1.4318
_SET1_   ENSG00000163539     3   33487737   33809848    606      27  35986      0.45025      0.26124    1.2212e-15      0.45025
_SET1_   ENSG00000144674     3   37234668   37458242    447      19  35986      0.40862      0.27545    1.2212e-15      0.40862
_SET1_   ENSG00000114745     3   39088150   39199854    344      24  35986       -2.023      0.96927    1.3323e-15       -2.023
_SET1_   ENSG00000168329     3   39254985   39373226    430      51  35986     0.062894      0.41572    1.2351e-15     0.062894
_SET1_   ENSG00000168036     3   41186328   41351587    323      22  35986      0.74065      0.17403    1.2212e-15      0.74065
_SET1_   ENSG00000182606     3   42005294   42317381    920      54  35986       -1.841      0.94827    1.3323e-15       -1.841
_SET1_   ENSG00000008324     3   42573332   42686606    288      20  35986      -1.1209      0.83192    1.3323e-15      -1.1209
_SET1_   ENSG00000144791     3   45546886   45777830    784      30  35986        1.149     0.084881    1.3323e-15        1.149
_SET1_   ENSG00000183625     3   46155096   46358197    603      19  35986       2.1502    0.0092454    1.3323e-15       2.1502
_SET1_   ENSG00000121807     3   46345225   46452419    352      19  35986       1.7518     0.025469    1.3323e-15       1.7518
_SET1_   ENSG00000164050     3   48395261   48521594    196      11  35986       1.3734     0.055126    1.3323e-15       1.3734
_SET1_   ENSG00000008300     3   48623902   48750348    150      13  35986       1.9784     0.018048    1.3323e-15       1.9784
_SET1_   ENSG00000198218     3   49017140   49181796    146      19  35986       3.1711   0.00044699    1.3323e-15       3.1711
_SET1_   ENSG00000067560     3   49346578   49500431    249      19  35986       2.4731    0.0037247    1.3323e-15       2.4731
_SET1_   ENSG00000173402     3   49456146   49623048    249      19  35986       2.1612    0.0090514    1.3323e-15       2.1612
_SET1_   ENSG00000001617     3   50142478   50276508    190      23  35986       1.2801     0.070535    1.3323e-15       1.2801
_SET1_   ENSG00000114378     3   50287320   50399812    103      19  35986       1.9605     0.020275    1.3323e-15       1.9605
_SET1_   ENSG00000247596     3   52212626   52323276    160      20  35986      0.47632      0.25809    1.2212e-15      0.47632
_SET1_   ENSG00000010319     3   52417069   52529101    147      12  35986     -0.21601      0.56501    1.2212e-15     -0.21601
_SET1_   ENSG00000010327     3   52479354   52608511    249      26  35986      0.26188      0.33517    1.2212e-15      0.26188
_SET1_   ENSG00000114251     3   55449743   55573973    389      38  35986      0.34782      0.29656    1.2212e-15      0.34782
_SET1_   ENSG00000153266     3   62305356   62409999    157      43  35986       1.3529     0.067787    1.3323e-15       1.3529
_SET1_   ENSG00000163636     3   63946225   64059658    229      30  35986      0.66525      0.20826    1.2212e-15      0.66525
_SET1_   ENSG00000163637     3   64029543   64481152   1413     108  35986     -0.64607      0.66826    1.2212e-15     -0.64607
_SET1_   ENSG00000163638     3   64451333   64723676    854      75  35986      0.94684      0.12713    1.2212e-15      0.94684
_SET1_   ENSG00000114861     3   70953844   71683140   1525     116  35986       1.6397     0.031143    1.3323e-15       1.6397
_SET1_   ENSG00000163421     3   71770807   71884357    361      47  35986        1.049      0.11201    1.3323e-15        1.049
_SET1_   ENSG00000185008     3   75905846   77749115   5471     222  35986       1.5031     0.035712    1.3323e-15       1.5031
_SET1_   ENSG00000169855     3   78596390   79866965   3121     106  35986       0.1224      0.31732    1.2351e-15       0.1224
_SET1_   ENSG00000144824     3  111401344  111745364   1350      65  35986    -0.070039       0.4289    1.2351e-15    -0.070039
_SET1_   ENSG00000163389     3  119137785  119263555    391      27  35986     -0.36275      0.57237    1.2212e-15     -0.36275
_SET1_   ENSG00000082701     3  119490170  119863264    735      44  35986      -1.0204      0.80336    1.3323e-15      -1.0204
_SET1_   ENSG00000082684     3  122578041  122797452    660      63  35986       1.2256     0.084541    1.3323e-15       1.2256
_SET1_   ENSG00000160145     3  123748870  124495172   2353      99  35986       0.8632      0.11852    1.2212e-15       0.8632
_SET1_   ENSG00000114554     3  126657437  126806235    512      34  35986        1.229     0.087319    1.3323e-15        1.229
_SET1_   ENSG00000179348     3  128148270  128262028    428      48  35986     0.066924      0.40449    1.2351e-15     0.066924
_SET1_   ENSG00000004399     3  129224018  129375661    418      29  35986      0.74026      0.19369    1.2212e-15      0.74026
_SET1_   ENSG00000113971     3  132226986  132491303    549      38  35986      0.92677      0.13714    1.2212e-15      0.92677
_SET1_   ENSG00000163785     3  133734147  134019689    813      37  35986       1.2625      0.07141    1.3323e-15       1.2625
_SET1_   ENSG00000144891     3  148365571  148510795    486      44  35986       1.0273      0.11572    1.3323e-15       1.0273
_SET1_   ENSG00000169860     3  152502736  152605841    227      23  35986      0.82926      0.17403    1.2212e-15      0.82926
_SET1_   ENSG00000174953     3  153940335  154092286    309      20  35986      -0.7568      0.71626    1.2212e-15      -0.7568
_SET1_   ENSG00000168779     3  157764948  157874292    268      15  35986      0.84584      0.14448    1.2212e-15      0.84584
_SET1_   ENSG00000114209     3  167351086  167502727    276      13  35986      -1.2639      0.85689    1.3323e-15      -1.2639
_SET1_   ENSG00000136603     3  170025466  170164623    360      23  35986     -0.55214      0.65578    1.2212e-15     -0.55214
_SET1_   ENSG00000154310     3  170729128  171228197   1414     125  35986     -0.23816      0.51829    1.2212e-15     -0.23816
_SET1_   ENSG00000121853     3  172112923  172216246    392      30  35986    0.0080585      0.41596    1.2299e-15    0.0080585
_SET1_   ENSG00000169760     3  173064074  174054434   2812     144  35986     -0.76466      0.67802    1.2212e-15     -0.76466
_SET1_   ENSG00000161202     3  183823176  183941398    264      24  35986     -0.77765      0.72356    1.2212e-15     -0.77765
_SET1_   ENSG00000161203     3  183842477  183951879    245      32  35986     -0.83943      0.74743    1.2212e-15     -0.83943
_SET1_   ENSG00000175166     3  183966497  184076842    225      33  35986      0.54568      0.24216    1.2212e-15      0.54568
_SET1_   ENSG00000182580     3  184229572  184350197    505      60  35986      -1.0806      0.81869    1.3323e-15      -1.0806
_SET1_   ENSG00000073803     3  184950729  185256885    698      35  35986      0.44525      0.26123    1.2212e-15      0.44525
_SET1_   ENSG00000244405     3  185714097  185878107    351      37  35986       0.3204      0.31349    1.2212e-15       0.3204
_SET1_   ENSG00000113838     3  186213862  186338332    318      29  35986      0.20568      0.34603    1.2212e-15      0.20568
