ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000044524	EPHA3	3	89156674	89531284	1	protein_coding	2042	EPHA3	0.0156859621990761	-0.110283635	15	22.3	3.51156881351e-10	rs7650184	5
ENSG00000042832	TG	8	133879203	134147147	1	protein_coding	7038	TG	2.62956477021395e-29	-0.23993182	80	9.993	4.36548619476e-09	rs7000137	8
ENSG00000155926	SLA	8	134048973	134115298	-1	protein_coding	6503	SLA	0.722953169634171	-0.370064375	71	9.119	4.36548619476e-09	rs7000137	8
ENSG00000119514	GALNT12	9	101569981	101612363	1	protein_coding	79695	GALNT12	0.0028256589510292	0.213659477	1	4.317	0.0031826691702	rs7023465	9
ENSG00000123243	ITIH5	10	7601232	7708961	-1	protein_coding	80760	ITIH5	5.63852864594726e-13	NA	1	25.7	2.96841301539e-10	rs41298373	10
ENSG00000165617	DACT1	14	59100685	59115039	1	protein_coding	51339	DACT1	0.81659755259209	NA	2	6.602	2.1721606458e-10	rs160459;rs1742882	12
ENSG00000100592	DAAM1	14	59655364	59838123	1	protein_coding	23002	DAAM1	0.999990849460485	1.582359631	13	16.92	2.0459525274e-07	rs74826997	13
ENSG00000015413	DPEP1	16	89679716	89704839	1	protein_coding	1800	DPEP1	0.000136492958599163	-0.167373086	3	1.602	3.16893674608e-05	rs34019730	15
ENSG00000131165	CHMP1A	16	89710839	89724253	-1	protein_coding	5119	CHMP1A	0.252036809419505	0.228699745	2	8.503	4.67255222247e-06	rs34019730	15
ENSG00000167523	SPATA33	16	89724210	89737680	1	protein_coding	124045	SPATA33	2.72892869796854e-06	0.42595794	3	8.503	1.85122280527e-06	rs34019730	15
ENSG00000185324	CDK10	16	89747145	89762772	1	protein_coding	8558	CDK10	2.3367075460824e-10	-0.209287955	3	7.147	3.25749738295e-09	rs34019730	15
ENSG00000260259	RP11-368I7.4	16	89749028	89752977	-1	protein_coding	105371416	LINC02166	NA	NA	3	7.147	3.25749738295e-09	rs34019730	15
ENSG00000158792	SPATA2L	16	89762751	89768113	-1	protein_coding	124044	SPATA2L	0.0469218644980502	1.088727464	2	7.147	3.25749738295e-09	rs34019730	15
ENSG00000075399	VPS9D1	16	89773542	89787394	-1	protein_coding	9605	VPS9D1	0.00176648362917067	NA	1	8.611	9.35980981609e-09	rs34019730	15
ENSG00000158805	ZNF276	16	89786808	89807311	1	protein_coding	92822	ZNF276	0.000257274838666869	NA	2	8.611	3.93711896418e-10	rs34019730	15
ENSG00000187741	FANCA	16	89803957	89883065	-1	protein_coding	2175	FANCA	2.08124711168363e-34	NA	9	14.61	3.93711896418e-10	rs34019730;rs111398992	15
ENSG00000204991	SPIRE2	16	89884587	89937727	1	protein_coding	84501	SPIRE2	1.1281776245309e-10	-0.545172322	11	14.61	3.66926038164e-11	rs111398992;rs34019730;rs9939914	15
ENSG00000141002	TCF25	16	89940000	89977792	1	protein_coding	22980	TCF25	0.0517782774404855	NA	13	22	3.66926038164e-11	rs9939914;rs111398992;rs34019730	15
ENSG00000258839	MC1R	16	89978527	89987385	1	protein_coding	4157	MC1R	3.24606043304287e-07	0.608794345	7	22	2.38026655508e-15	rs111398992;rs34019730;rs9939914	15
ENSG00000198211	TUBB3	16	89985573	90002500	1	protein_coding	10381	TUBB3	NA	0.14326531	31	22	2.38026655508e-15	rs111398992;rs34019730;rs9939914;rs200955819	15
ENSG00000258947	TUBB3	16	89987800	90005169	1	protein_coding	10381	TUBB3	0.960789307391211	0.14326531	38	22	2.38026655508e-15	rs9939914;rs111398992;rs34019730;rs200955819	15
ENSG00000140995	DEF8	16	90014333	90034468	1	protein_coding	54849	DEF8	0.389991487866254	1.457518434	69	12.89	2.76752243344e-09	rs200955819;rs111398992;rs34019730;rs117306165	15
ENSG00000177946	CENPBD1	16	90036206	90038942	-1	protein_coding	92806	CENPBD1	0.0200720946377584	-0.392978384	26	26.7	2.76752243344e-09	rs200955819;rs117306165	15
ENSG00000003249	DBNDD1	16	90071273	90086536	-1	protein_coding	79007	DBNDD1	0.000234996408377196	-0.663797933	34	7.965	5.40018273154e-11	rs200955819;rs117306165;rs34019730	15
ENSG00000141013	GAS8	16	90086037	90111383	1	protein_coding	2622	GAS8	8.03531596883606e-08	1.927189183	32	23.8	1.11041433826e-08	rs200955819;rs34019730;rs117306165	15
ENSG00000221819	C16orf3	16	90095316	90096309	-1	protein_coding	750	C16orf3	0.00279281097473673	0.390816122	10	23.8	1.11041433826e-08	rs200955819	15
ENSG00000126856	PRDM7	16	90122974	90158480	-1	protein_coding	11105	PRDM7	3.13626272886712e-10	0.817071391	39	13.86	1.90367427422e-06	rs200955819	15
ENSG00000159314	ARHGAP27	17	43471275	43511787	-1	protein_coding	201176	ARHGAP27	0.00125584382196987	-0.761627793	82	18.95	9.07851585907e-07	rs62063672	16
ENSG00000225190	PLEKHM1	17	43513266	43568115	-1	protein_coding	9842	PLEKHM1	0.840543209831517	-0.663068032	138	18.95	3.68362848904e-12	rs62063672	16
ENSG00000120088	CRHR1	17	43699267	43913194	1	protein_coding	1394	CRHR1	0.792134286397601	2.038085631	914	19.39	1.75940574501e-13	rs62063672	16
ENSG00000185294	SPPL2C	17	43922256	43924438	1	protein_coding	162540	SPPL2C	2.29524703916312e-05	0.187394842	117	23.5	4.84778558442e-13	rs62063672	16
ENSG00000186868	MAPT	17	43971748	44105700	1	protein_coding	4137	MAPT	4.68264962282433e-05	2.01024275	787	26.8	1.56966556845e-24	rs62063672;rs3785879;rs10775404;rs28753217;rs8064802;rs7225002;rs17698176	16
ENSG00000256762	STH	17	44076616	44077060	1	protein_coding	246744	STH	0.00444466614164462	0.274193181	101	19.15	1.56966556845e-24	rs62063672;rs10775404;rs28753217;rs8064802	16
ENSG00000120071	KANSL1	17	44107282	44302733	-1	protein_coding	284058	KANSL1	0.999733505943003	0.058945245	955	22.6	6.39022569472e-26	rs28753217;rs8064802;rs62063672;rs7225002;rs10775404;rs17698176	16
ENSG00000228696	ARL17B	17	44352150	44439130	-1	protein_coding	100506084	ARL17B	NA	-0.428243465	75	14.22	1.15469445582e-22	rs62063672;rs10775404;rs17698176	16
ENSG00000176681	LRRC37A	17	44370099	44415160	1	protein_coding	9884	LRRC37A	0.890487355591061	NA	8	12.59	1.15469445582e-22	rs62063672;rs10775404;rs17698176	16
ENSG00000073969	NSF	17	44668035	44834830	1	protein_coding	4905	NSF	0.713682130183303	-0.566246769	55	17.18	2.06053517864e-21	rs62063672;rs17698176;rs10775404	16
ENSG00000108379	WNT3	17	44839872	44910520	-1	protein_coding	7473	WNT3	0.946108101336536	-0.191110949	39	16.08	3.07690702225e-20	rs62063672;rs10775404;rs17698176	16
ENSG00000177051	FBXO46	19	46213887	46234162	-1	protein_coding	23403	FBXO46	0.876437042044124	0.090543664	3	15.12	3.57577773684e-05	rs7257103	17
ENSG00000237452	AC074212.3	19	46236509	46267792	1	protein_coding	388553	BHMG1	0.376320934323438	NA	6	15.12	1.32899940581e-05	rs7257103	17
ENSG00000177045	SIX5	19	46268043	46272484	-1	protein_coding	147912	SIX5	0.310828642912358	-0.397728387	1	4.294	5.75442245463e-05	rs7257103	17
ENSG00000104936	DMPK	19	46272975	46285810	-1	protein_coding	1760	DMPK	0.0330811788641306	-0.863937292	4	9.586	2.56053845078e-05	rs7257103	17
ENSG00000268434	AC011530.4	19	46282695	46289231	-1	protein_coding	NA	NA	NA	NA	3	9.586	2.56053845078e-05	rs7257103	17
ENSG00000185800	DMWD	19	46286205	46296060	-1	protein_coding	1762	DMWD	0.00790211300454926	-0.221831314	5	9.586	3.98497057574e-08	rs7257103	17
ENSG00000104941	RSPH6A	19	46298968	46318577	-1	protein_coding	81492	RSPH6A	2.54884442731765e-08	NA	21	7.869	2.51338754254e-08	rs7257103	17
ENSG00000125755	SYMPK	19	46318668	46366548	-1	protein_coding	8189	SYMPK	0.997278492187137	-0.384639791	24	10.15	3.91449077597e-08	rs7257103	17
ENSG00000170608	FOXA3	19	46367247	46377055	1	protein_coding	3171	FOXA3	0.395510308295114	-0.452953673	1	10.15	4.4238204282e-05	rs7257103	17
