#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:15459824	(2004) Linkage disequilibrium and haplotype tagging polymorphisms in the Tau H1 haplotype.	4	4	2.48	0.0010	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,MAPT,CRHR1,STH
PMID:28738163	(2018) A local duplication of the Melanocortin receptor 1 locus in Astyanax.	5	18	1.92	0.0014	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000268699,9606.ENSP00000320295,9606.ENSP00000451605	TCF25,DEF8,GAS8,TUBB3,MC1R
PMID:32967142	(2020) Identifying Risk Genes and Interpreting Pathogenesis for Parkinsons Disease by a Multiomics Analysis.	4	5	2.38	0.0016	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000381333,9606.ENSP00000464535	KANSL1,LRRC37A,CRHR1,LRRC37A3
PMID:27584858	(2016) Human adaptation and evolution by segmental duplication.	5	20	1.88	0.0020	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000464535	KANSL1,LRRC37A,MAPT,CRHR1,LRRC37A3
PMID:27287230	(2016) Comprehensive promoter level expression quantitative trait loci analysis of the human frontal lobe.	5	25	1.78	0.0051	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000464535	KANSL1,LRRC37A,MAPT,CRHR1,LRRC37A3
PMID:19317893	(2009) Copy number variation in African Americans.	4	8	2.18	0.0058	9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247	LRRC37A,MAPT,CRHR1,ARL17B
PMID:19165922	(2008) Evolutionary toggling of the MAPT 17q21.31 inversion region.	4	8	2.18	0.0058	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333	KANSL1,LRRC37A,MAPT,CRHR1
PMID:31413261	(2019) A meta-analysis of genome-wide association studies identifies multiple longevity genes.	5	27	1.75	0.0065	9606.ENSP00000262419,9606.ENSP00000337478,9606.ENSP00000381333,9606.ENSP00000404247,9606.ENSP00000459551	KANSL1,ARL17A,CRHR1,ARL17B,LRRC37A2
PMID:35092859	(2022) Genome-wide detection of selective signals for fecundity traits in goats (Capra hircus).	4	9	2.13	0.0076	9606.ENSP00000263346,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000415836	TCF25,SPIRE2,FANCA,ZNF276
PMID:15690355	(2005) Investigations of the genomic region that contains the clf1 mutation, a causal gene in multifactorial cleft lip and palate in mice.	4	10	2.08	0.0103	9606.ENSP00000225512,9606.ENSP00000340820,9606.ENSP00000381293,9606.ENSP00000381333	WNT3,MAPT,NSF,CRHR1
PMID:30054336	(2018) A Transcriptome-Wide Association Study Among 97,898 Women to Identify Candidate Susceptibility Genes for Epithelial Ovarian Cancer Risk.	5	32	1.67	0.0127	9606.ENSP00000329219,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000403323	FMNL1,MAPT,CRHR1,PLEKHM1,ARHGAP27
PMID:30914738	(2019) Detection of novel fusion-transcripts by RNA-Seq in T-cell lymphoblastic lymphoma.	5	34	1.65	0.0163	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000337478,9606.ENSP00000459551,9606.ENSP00000464535	KANSL1,LRRC37A,ARL17A,LRRC37A2,LRRC37A3
PMID:28586827	(2017) Genome-wide Pleiotropy Between Parkinson Disease and Autoimmune Diseases.	4	12	2.0	0.0171	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333	WNT3,KANSL1,MAPT,CRHR1
PMID:15329828	(2004) A digenic cause of cleft lip in A-strain mice and definition of candidate genes for the two loci.	4	12	2.0	0.0171	9606.ENSP00000225512,9606.ENSP00000340820,9606.ENSP00000381293,9606.ENSP00000381333	WNT3,MAPT,NSF,CRHR1
PMID:27287057	(2016) MAPT haplotype H1G is associated with increased risk of dementia with Lewy bodies.	4	13	1.97	0.0212	9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000464535	LRRC37A,MAPT,CRHR1,LRRC37A3
PMID:32063841	(2020) Differences Between Human and Murine Tau at the N-terminal End.	4	15	1.9	0.0335	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,MAPT,CRHR1,STH
PMID:31230729	(2019) Novel Insight Into the Etiology of Autism Spectrum Disorder Gained by Integrating Expression Data With Genome-wide Association Statistics.	4	16	1.88	0.0407	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000464535	KANSL1,LRRC37A,MAPT,LRRC37A3
PMID:27818178	(2016) Molecular Genetic Contributions to Social Deprivation and Household Income in UK Biobank.	4	16	1.88	0.0407	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913	KANSL1,MAPT,CRHR1,PLEKHM1
PMID:35268233	(2022) Assessing Genomic Diversity and Selective Pressures in Bohai Black Cattle Using Whole-Genome Sequencing Data.	4	17	1.85	0.0479	9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000451605	CDK10,SPIRE2,FANCA,MC1R
PMID:27030133	(2016) An evolutionary roadmap to the microtubule-associated protein MAP Tau.	5	45	1.52	0.0480	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,SPPL2C,MAPT,CRHR1,STH
